time,wx,wy,wz
0.007,-0.04,-0.04,0.00
0.035,0.00,0.02,-0.00
0.056,-0.06,-0.01,-0.00
0.073,0.03,-0.01,0.01
0.089,0.00,0.00,0.00
0.106,-0.01,-0.02,0.00
0.122,-0.00,0.00,0.01
0.139,-0.00,-0.00,-0.00
0.156,0.01,0.00,0.00
0.173,-0.00,0.01,-0.00
0.189,0.01,-0.00,0.01
0.206,0.00,0.00,0.00
0.223,-0.01,-0.01,0.00
0.239,0.02,0.01,0.00
0.256,-0.03,-0.01,0.00
0.273,0.01,0.00,0.00
0.289,-0.01,-0.00,0.00
0.306,0.01,-0.00,0.00
0.323,-0.00,-0.00,0.00
0.340,-0.02,-0.01,0.00
0.356,0.01,-0.01,0.00
0.373,0.01,-0.00,0.00
0.389,-0.01,-0.01,0.00
0.406,0.02,-0.00,0.00
0.423,-0.01,-0.01,-0.00
0.440,-0.01,-0.00,0.00
0.456,0.03,0.00,0.00
0.473,-0.01,0.00,0.00
0.490,-0.01,-0.01,0.00
0.506,0.02,0.00,0.00
0.523,0.02,0.00,0.00
0.552,0.01,0.00,0.00
0.574,0.06,0.01,0.00
0.590,-0.04,-0.01,0.00
0.606,-0.03,-0.01,0.00
0.623,0.03,0.00,0.00
0.640,-0.00,-0.01,-0.00
0.656,-0.01,0.00,0.00
0.673,-0.02,-0.01,0.00
0.690,0.01,0.00,0.00
0.706,-0.00,-0.01,0.00
0.723,-0.02,-0.01,0.00
0.740,0.01,0.00,0.00
0.756,-0.02,-0.00,-0.00
0.773,0.00,-0.00,0.00
0.790,0.00,-0.00,0.00
0.806,0.00,0.00,0.00
0.823,-0.01,-0.00,0.00
0.840,0.00,0.00,0.00
0.857,-0.01,-0.00,0.00
0.873,0.01,-0.00,0.00
0.890,-0.01,0.00,0.00
0.907,-0.02,-0.01,-0.00
0.925,0.04,0.01,0.00
0.940,-0.03,-0.01,0.00
0.957,-0.01,-0.01,0.00
0.973,0.03,0.01,0.00
0.990,-0.02,-0.01,0.00
1.007,0.03,0.01,0.00
1.023,-0.02,-0.01,0.00
1.040,0.02,0.01,-0.00
1.057,-0.01,-0.00,0.00
1.073,0.02,0.01,0.00
1.102,-0.02,-0.01,0.00
1.118,-0.01,-0.00,0.00
1.135,0.02,0.01,0.00
1.152,-0.00,-0.00,0.00
1.168,0.01,0.00,0.00
1.185,0.01,0.00,0.00
1.202,-0.03,-0.01,0.00
1.218,0.02,-0.00,0.00
1.235,-0.02,-0.00,0.00
1.252,0.02,0.00,0.00
1.268,-0.02,-0.01,0.00
1.285,0.02,0.00,0.00
1.302,0.01,0.00,0.00
1.318,-0.03,-0.01,0.00
1.335,0.03,0.01,0.00
1.352,-0.02,-0.01,0.00
1.374,0.01,0.01,0.00
1.390,-0.00,-0.01,0.00
1.407,0.00,-0.00,0.00
1.424,0.01,0.00,0.01
1.440,-0.02,0.00,0.00
1.457,0.01,0.00,0.00
1.474,0.01,0.00,0.00
1.490,-0.01,-0.00,0.00
1.507,0.01,0.01,0.00
1.524,-0.01,-0.00,0.00
1.540,0.02,0.00,-0.00
1.557,0.00,-0.00,0.00
1.574,-0.03,-0.02,0.00
1.590,2.50,0.31,0.01
1.618,7.62,0.08,0.27
1.635,10.40,-0.45,0.30
1.652,8.84,-0.02,-0.10
1.668,9.56,0.16,0.13
1.685,9.08,-0.13,0.12
1.702,9.44,0.09,-0.03
1.718,9.15,0.01,0.16
1.735,9.30,0.02,-0.00
1.752,9.25,0.01,0.06
1.785,9.24,0.06,0.09
1.802,9.22,0.00,0.04
1.818,9.30,0.06,0.10
1.835,9.25,-0.00,0.05
1.852,9.18,0.02,0.07
1.873,9.36,0.08,0.07
1.890,9.20,-0.01,0.06
1.906,9.38,0.06,0.08
1.923,9.19,0.01,0.06
1.942,9.30,0.02,0.06
1.956,9.24,0.06,0.07
1.973,9.25,0.00,0.07
1.990,9.24,0.01,0.06
2.006,9.21,0.03,0.07
2.023,9.25,0.03,0.06
2.039,9.27,0.06,0.07
2.056,9.32,0.02,0.07
2.073,9.17,-0.00,0.07
2.090,9.32,0.06,0.06
2.106,9.17,-0.01,0.07
2.123,9.39,0.08,0.07
2.140,9.23,0.02,0.07
2.156,9.27,-0.00,0.07
2.173,9.20,-0.01,0.07
2.190,9.31,0.05,0.07
2.206,9.21,0.03,0.06
2.223,9.25,0.02,0.07
2.240,9.23,0.05,0.06
2.257,9.28,0.01,0.08
2.273,9.25,0.02,0.06
2.290,9.27,0.06,0.06
2.307,9.19,-0.01,0.07
2.323,9.34,0.07,0.06
2.340,9.21,-0.00,0.07
2.357,9.30,0.03,0.07
2.373,9.25,0.06,0.06
2.390,9.21,0.01,0.07
2.407,9.29,0.05,0.07
2.423,9.19,-0.00,0.07
2.440,9.28,0.03,0.06
2.457,9.21,0.05,0.06
2.473,9.28,0.01,0.07
2.490,9.25,0.04,0.07
2.507,9.25,0.02,0.06
2.523,9.20,0.02,0.06
2.540,9.29,0.06,0.07
2.557,9.28,0.02,0.06
2.573,9.26,0.01,0.07
2.590,9.24,0.06,0.07
2.607,9.19,-0.03,0.07
2.624,9.35,0.09,0.07
2.640,9.17,-0.03,0.07
2.657,9.33,0.03,0.06
2.674,9.17,0.05,0.07
2.690,9.26,0.06,0.07
2.707,9.29,0.02,0.06
2.724,9.22,-0.01,0.06
2.740,9.30,0.08,0.06
2.757,9.18,-0.01,0.07
2.774,9.36,0.05,0.06
2.790,9.22,0.03,0.07
2.807,9.22,-0.01,0.06
2.824,9.28,0.07,0.06
2.840,9.19,-0.02,0.07
2.857,9.36,0.05,0.07
2.874,9.18,0.05,0.06
2.890,9.28,-0.01,0.07
2.907,9.28,0.07,0.06
2.924,9.24,0.00,0.07
2.940,9.29,0.02,0.07
2.959,9.26,0.07,0.06
2.974,9.22,-0.01,0.07
2.990,9.30,0.06,0.06
3.007,9.23,0.01,0.06
3.024,9.23,0.01,0.06
3.040,9.31,0.07,0.06
3.057,9.19,-0.01,0.07
3.074,9.35,0.04,0.07
3.090,9.16,0.01,0.06
3.107,9.25,0.02,0.06
3.124,9.29,0.08,0.07
3.140,9.23,0.00,0.07
3.157,9.32,0.04,0.07
3.174,9.19,0.02,0.06
3.190,9.25,0.01,0.07
3.207,9.24,-0.00,0.06
3.235,9.28,0.02,0.07
3.252,9.24,0.06,0.07
3.268,9.21,-0.01,0.06
3.285,9.35,0.07,0.07
3.302,9.21,-0.01,0.07
3.318,9.25,0.01,0.06
3.335,9.25,0.08,0.07
3.358,9.34,0.06,0.07
3.374,9.23,0.03,0.07
3.391,9.23,-0.01,0.06
3.407,9.27,0.08,0.06
3.424,9.21,-0.00,0.07
3.441,9.32,0.04,0.06
3.458,9.24,0.05,0.06
3.474,9.23,-0.01,0.07
3.491,9.27,0.06,0.06
3.507,9.22,-0.00,0.07
3.524,9.27,0.02,0.06
3.541,9.27,0.06,0.06
3.557,9.21,-0.02,0.07
3.574,9.32,0.06,0.06
3.591,9.21,0.01,0.07
